outcome,cohort,subgroup,time_periods
ami,electively_unvaccinated,main,day_zero_reduced
stroke_isch,electively_unvaccinated,main,day_zero_reduced
dvt,electively_unvaccinated,main,day_zero_reduced
pe,electively_unvaccinated,main,day_zero_reduced
hf,electively_unvaccinated,main,day_zero_reduced
angina,electively_unvaccinated,main,day_zero_reduced
ate,electively_unvaccinated,main,day_zero_reduced
vte,electively_unvaccinated,main,day_zero_reduced
ami_primary_position,electively_unvaccinated,main,day_zero_reduced
stroke_isch_primary_position,electively_unvaccinated,main,day_zero_reduced
pe_primary_position,electively_unvaccinated,main,day_zero_reduced
ate_primary_position,electively_unvaccinated,main,day_zero_reduced
vte_primary_position,electively_unvaccinated,main,day_zero_reduced
ami,vaccinated,hospitalised,day_zero_reduced
stroke_isch,vaccinated,hospitalised,day_zero_reduced
dvt,vaccinated,hospitalised,day_zero_reduced
pe,vaccinated,hospitalised,day_zero_reduced
hf,vaccinated,hospitalised,day_zero_reduced
angina,vaccinated,hospitalised,day_zero_reduced
ate,vaccinated,hospitalised,day_zero_reduced
vte,vaccinated,hospitalised,day_zero_reduced
ami_primary_position,vaccinated,hospitalised,day_zero_reduced
stroke_isch_primary_position,vaccinated,hospitalised,day_zero_reduced
dvt_primary_position,vaccinated,hospitalised,day_zero_reduced
pe_primary_position,vaccinated,hospitalised,day_zero_reduced
hf_primary_position,vaccinated,hospitalised,day_zero_reduced
angina_primary_position,vaccinated,hospitalised,day_zero_reduced
ate_primary_position,vaccinated,hospitalised,day_zero_reduced
vte_primary_position,vaccinated,hospitalised,day_zero_reduced
ami,electively_unvaccinated,hospitalised,day_zero_reduced
stroke_isch,electively_unvaccinated,hospitalised,day_zero_reduced
dvt,electively_unvaccinated,hospitalised,day_zero_reduced
pe,electively_unvaccinated,hospitalised,day_zero_reduced
hf,electively_unvaccinated,hospitalised,day_zero_reduced
angina,electively_unvaccinated,hospitalised,day_zero_reduced
ate,electively_unvaccinated,hospitalised,day_zero_reduced
vte,electively_unvaccinated,hospitalised,day_zero_reduced
ate_primary_position,electively_unvaccinated,hospitalised,day_zero_reduced
vte_primary_position,electively_unvaccinated,hospitalised,day_zero_reduced
ami,electively_unvaccinated,non_hospitalised,day_zero_reduced
stroke_isch,electively_unvaccinated,non_hospitalised,day_zero_reduced
dvt,electively_unvaccinated,non_hospitalised,day_zero_reduced
pe,electively_unvaccinated,non_hospitalised,day_zero_reduced
hf,electively_unvaccinated,non_hospitalised,day_zero_reduced
angina,electively_unvaccinated,non_hospitalised,day_zero_reduced
ate,electively_unvaccinated,non_hospitalised,day_zero_reduced
vte,electively_unvaccinated,non_hospitalised,day_zero_reduced
ami_primary_position,electively_unvaccinated,non_hospitalised,day_zero_reduced
stroke_isch_primary_position,electively_unvaccinated,non_hospitalised,day_zero_reduced
pe_primary_position,electively_unvaccinated,non_hospitalised,day_zero_reduced
hf_primary_position,electively_unvaccinated,non_hospitalised,day_zero_reduced
ate_primary_position,electively_unvaccinated,non_hospitalised,day_zero_reduced
vte_primary_position,electively_unvaccinated,non_hospitalised,day_zero_reduced
