date,description,jcvi_groups
2020-12-08,vax_cat_jcvi_group='01' OR vax_cat_jcvi_group='02',"01, 02"
2021-01-18,vax_cat_jcvi_group='03' OR vax_cat_jcvi_group='04',"03, 04"
2021-02-15,vax_cat_jcvi_group='05' OR vax_cat_jcvi_group='06',"05, 06"
2021-02-22,vax_jcvi_age_1 >= 64 AND vax_jcvi_age_1 < 65,07
2021-03-01,vax_jcvi_age_1 >= 60 AND vax_jcvi_age_1 < 64,07
2021-03-08,vax_jcvi_age_1 >= 56 AND vax_jcvi_age_1 < 60,08
2021-03-09,vax_jcvi_age_1 >= 55 AND vax_jcvi_age_1 < 56,08
2021-03-19,vax_jcvi_age_1 >= 50 AND vax_jcvi_age_1 < 55,09
2021-04-13,vax_jcvi_age_2 >= 45 AND vax_jcvi_age_1 < 50,10
2021-04-26,vax_jcvi_age_2 >= 44 AND vax_jcvi_age_1 < 45,10
2021-04-27,vax_jcvi_age_2 >= 42 AND vax_jcvi_age_1 < 44,10
2021-04-30,vax_jcvi_age_2 >= 40 AND vax_jcvi_age_1 < 42,10
2021-05-13,vax_jcvi_age_2 >= 38 AND vax_jcvi_age_2 < 40,11
2021-05-19,vax_jcvi_age_2 >= 36 AND vax_jcvi_age_2 < 38,11
2021-05-21,vax_jcvi_age_2 >= 34 AND vax_jcvi_age_2 < 36,11
2021-05-25,vax_jcvi_age_2 >= 32 AND vax_jcvi_age_2 < 34,11
2021-05-26,vax_jcvi_age_2 >= 30 AND vax_jcvi_age_2 < 32,11
2021-06-08,vax_jcvi_age_2 >= 25 AND vax_jcvi_age_2 < 30,12
2021-06-15,vax_jcvi_age_2 >= 23 AND vax_jcvi_age_2 < 25,12
2021-06-16,vax_jcvi_age_2 >= 21 AND vax_jcvi_age_2 < 23,12
2021-06-18,vax_jcvi_age_2 >= 18 AND vax_jcvi_age_2 < 21,12
2100-12-31,DEFAULT,"NA"
