outcome,cohort,subgroup,time_periods
ami_extended_follow_up,pre_vaccination,hospitalised,reduced
stroke_isch_extended_follow_up,pre_vaccination,hospitalised,reduced
dvt_extended_follow_up,pre_vaccination,hospitalised,reduced
pe_extended_follow_up,pre_vaccination,hospitalised,reduced
tia_extended_follow_up,pre_vaccination,hospitalised,reduced
stroke_sah_hs_extended_follow_up,pre_vaccination,hospitalised,reduced
hf_extended_follow_up,pre_vaccination,hospitalised,reduced
angina_extended_follow_up,pre_vaccination,hospitalised,reduced
ate_extended_follow_up,pre_vaccination,hospitalised,reduced
vte_extended_follow_up,pre_vaccination,hospitalised,reduced
ami_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
stroke_isch_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
dvt_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
pe_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
tia_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
hf_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
angina_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
ate_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
vte_primary_position_extended_follow_up,pre_vaccination,hospitalised,reduced
